Emir Kusturica & The No Smoking Orchestra,Serbie,
Emma,France,Rennes
End of Data,France,Rennes
Engineers,Royaume-Uni,
Entre les Deux Fils Dénudés de la Dynamo,France,Rennes
Epic Rain,Islande,Reykjavik
Eric Borgo,Suisse,
Eric Débris AKA Dr. Mix,France,Paris
Erik Truffaz & Murcof - The Mexico Project,France,
Erol Alkan,Royaume-Uni,Londres
Erol Alkan,Royaume-Uni,Londres
Escort,Etats-Unis,New-York
ESG,Etats-Unis ,New-York
Esser,Royaume-Uni,Londres
Étant Donnés & Thee Majesty,France,
Etha Dam,France,Montreuil
Ethadam,France,Paris
Etienne Daho,France,Rennes
Etienne Daho Jr,France,Rennes
Etienne De Crécy Live (Superdiscount),France,
Euphoric Trapdoor Shoes,France,Laval
Eva Gardner,France,
Evening Hymns,Canada,Toronto
Evening Legions,France,Rennes
Evil 9 feat. Juice Aleem & Toastie Taylor,Royaume-Uni,Brighton
Excès de Zèle,France,Rennes
Expø,France,Rennes
EZ3kiel,France,Tours
Ezra Bang & The Hot Machine ,Etats-Unis,New-York
Ezra,France,Angers
Facteur X,France,Rennes
Factory Floor,Royaume-Uni,Londres
Fakear,France,Caen
Fake Blood,Royaume-Uni,
Fancy,France,
Fatale,France,Paris
Fatboy Slim,Royaume-Uni,Brighton
Fat Supper,France,
Fat Truckers,Royaume-Uni,Sheffield
Faudel,France ,Mantes-la-Jolie
Fauna featuring Tremor,Argentine,
Faust,Allemagne ,Wumme
Fawl,France,Dinan
Faze Action,Royaume-Uni,Londres
F.E.M.,France,Rennes
Femi Anikulapo Kuti & The Positive Force,Nigéria ,Lagos
Femmouzes T.,Brésil,
Fermin Muguruza,Espagne ,
Fever Ray,Suède,Stockholm
FFF,France,Paris
FFF,France,Paris
Filewile,Suisse,Berne
Filip Dean Junior,France,
Filthy Dukes,Royaume-Uni,Londres
First Lady,France,
Fischerspooner,Etats-Unis ,New-York
Fishbone,Etats-Unis,Los Angeles
Fitness,Etats-Unis,New-York
Five Deez,Etats-Unis ,Cincinnati
Fixed Up,France,Le Havre
Flamingos,France,Nantes
Flammable Beats,Russie,
Flat Duo Jets,Etats-Unis,Carrboro
Fleshquartet,Suède,Stockholm
Flore,France,Lyon
Florian,France,Rennes
Florian Mona,France ,Rennes
Florian Mona & Son Caravane Sofa Tour,France ,Rennes
Fluke,Royaume-Uni,Beaconsfield
Flying Lotus,Etats-Unis ,Winnetka
FM Belfast,Islande,Reykjavik
Foo Fighters,Etats-Unis,Seattle
Foreign Affair,Israël,Tel Aviv
Foreign Beggars,Royaume-Uni,Londres
